class,precision,recall,f1,support
Apple_scab,0.9456521739130435,0.925531914893617,0.9354838709677419,94
Bacterial_spot,0.987012987012987,0.9348093480934809,0.9602021478205938,813
Black_rot,0.9814814814814815,0.9814814814814815,0.9814814814814815,270
Cedar_apple_rust,0.975,0.9512195121951219,0.9629629629629629,41
Cercospora_leaf_spot Gray_leaf_spot,0.9516129032258065,0.7662337662337663,0.8489208633093526,77
Common_rust_,0.994413407821229,0.994413407821229,0.994413407821229,179
Early_blight,0.9552238805970149,0.8533333333333334,0.9014084507042254,300
Esca_(Black_Measles),0.9951456310679612,0.9903381642512077,0.9927360774818402,207
Late_blight,0.9852941176470589,0.9220183486238532,0.95260663507109,436
Leaf_Mold,0.9606299212598425,0.8531468531468531,0.9037037037037037,143
Leaf_blight_(Isariopsis_Leaf_Spot),1.0,0.9938271604938271,0.9969040247678018,162
Leaf_scorch,0.9822485207100592,0.9940119760479041,0.9880952380952381,167
Northern_Leaf_Blight,0.8727272727272727,0.972972972972973,0.9201277955271565,148
Powdery_mildew,0.9933333333333333,0.9430379746835443,0.9675324675324676,158
Septoria_leaf_spot,0.9153846153846154,0.8981132075471698,0.9066666666666666,265
Spider_mites Two-spotted_spider_mite,0.9487179487179487,0.8809523809523809,0.9135802469135802,252
Target_Spot,0.7052238805970149,0.9,0.7907949790794979,210
Tomato_Yellow_Leaf_Curl_Virus,0.9580335731414868,0.9937810945273632,0.9755799755799756,804
Tomato_mosaic_virus,0.7368421052631579,1.0,0.8484848484848485,56
healthy,0.9515873015873015,0.9852095316351684,0.968106580540977,1217
